CMDLINE python.exe server.py
MEM 0.511719 1516266138.3967
MEM 17.546875 1516266138.5079
MEM 33.144531 1516266138.6093
MEM 57.246094 1516266138.7203
MEM 80.296875 1516266138.8280
MEM 81.593750 1516266138.9374
MEM 83.558594 1516266139.0380
MEM 85.597656 1516266139.1450
MEM 86.996094 1516266139.2645
MEM 88.035156 1516266139.3649
MEM 90.425781 1516266139.4743
MEM 91.832031 1516266139.5836
MEM 92.847656 1516266139.6843
MEM 96.328125 1516266139.7904
MEM 96.992188 1516266139.9048
MEM 99.324219 1516266140.0142
MEM 99.457031 1516266140.1151
MEM 100.953125 1516266140.2240
MEM 102.246094 1516266140.3334
MEM 104.917969 1516266140.4427
MEM 106.132812 1516266140.5521
MEM 107.441406 1516266140.6615
MEM 109.386719 1516266140.7624
MEM 110.925781 1516266140.8729
MEM 112.953125 1516266140.9738
MEM 113.757812 1516266141.0834
MEM 114.777344 1516266141.1972
MEM 116.273438 1516266141.3066
MEM 118.992188 1516266141.4175
MEM 118.722656 1516266141.5269
MEM 123.062500 1516266141.6304
MEM 123.457031 1516266141.7396
MEM 123.250000 1516266141.8506
MEM 123.871094 1516266141.9600
MEM 127.574219 1516266142.0623
MEM 126.890625 1516266142.1693
MEM 128.765625 1516266142.2776
MEM 130.480469 1516266142.3783
MEM 134.816406 1516266142.4877
MEM 143.351562 1516266142.5971
MEM 142.792969 1516266142.7135
MEM 147.515625 1516266142.8392
MEM 142.214844 1516266142.9485
MEM 140.792969 1516266143.0655
MEM 36.910156 1516266143.1749
